Global Land Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999.0000
Year,Value
1880,-0.46
1881,-0.44
1882,-0.40
1883,-0.59
1884,-0.60
1885,-0.51
1886,-0.47
1887,-0.44
1888,-0.44
1889,-0.29
1890,-0.47
1891,-0.53
1892,-0.50
1893,-0.56
1894,-0.36
1895,-0.41
1896,-0.27
1897,-0.30
1898,-0.38
1899,-0.18
1900,-0.13
1901,-0.10
1902,-0.35
1903,-0.40
1904,-0.48
1905,-0.43
1906,-0.21
1907,-0.61
1908,-0.49
1909,-0.40
1910,-0.35
1911,-0.45
1912,-0.52
1913,-0.34
1914,-0.07
1915,-0.06
1916,-0.36
1917,-0.51
1918,-0.36
1919,-0.31
1920,-0.27
1921,-0.04
1922,-0.22
1923,-0.19
1924,-0.24
1925,-0.09
1926,0.02
1927,-0.14
1928,-0.08
1929,-0.40
1930,-0.07
1931,-0.02
1932,-0.00
1933,-0.33
1934,-0.01
1935,-0.13
1936,-0.11
1937,-0.03
1938,0.17
1939,0.09
1940,0.04
1941,0.11
1942,0.07
1943,0.09
1944,0.21
1945,-0.08
1946,-0.02
1947,0.05
1948,0.04
1949,-0.06
1950,-0.34
1951,-0.08
1952,-0.09
1953,0.17
1954,-0.16
1955,-0.13
1956,-0.42
1957,-0.06
1958,0.12
1959,0.05
1960,-0.05
1961,0.10
1962,0.16
1963,0.20
1964,-0.25
1965,-0.14
1966,-0.08
1967,-0.01
1968,-0.12
1969,-0.11
1970,0.01
1971,-0.05
1972,-0.18
1973,0.29
1974,-0.21
1975,0.12
1976,-0.26
1977,0.20
1978,0.08
1979,0.15
1980,0.27
1981,0.49
1982,0.10
1983,0.50
1984,0.06
1985,0.08
1986,0.29
1987,0.42
1988,0.55
1989,0.39
1990,0.59
1991,0.53
1992,0.27
1993,0.35
1994,0.45
1995,0.77
1996,0.35
1997,0.68
1998,0.95
1999,0.79
2000,0.63
2001,0.82
2002,0.93
2003,0.89
2004,0.81
2005,1.05
2006,0.92
2007,1.10
2008,0.87
2009,0.89
2010,1.09
2011,0.91
2012,0.92
2013,1.01
2014,1.02
2015,1.35
2016,1.44
